ID Caso,Fecha de Resolución,Contenido,Tipo de Resolución
1635,2023-11-11,"Distinctio cum aut. Corrupti odio quas distinctio perferendis eligendi.
Ducimus ratione corporis. Voluptatum molestias earum.",Caso en Curso
1636,2022-10-14,Quia ex quis corrupti mollitia rerum a quo. Voluptatem consequuntur atque unde officia deleniti rem.,Recurso Concedido
1637,2023-09-21,Esse culpa fugiat quos nobis illo. Iusto omnis necessitatibus.,Caso en Curso
1638,2025-05-22,Ipsa libero doloribus eius. Laborum nostrum quaerat natus eaque minus. Asperiores nesciunt quia fugiat quasi occaecati sapiente.,Caso en Curso
1639,2024-06-19,Ducimus voluptatibus assumenda alias. Assumenda sed atque veniam. Officiis voluptas fugit. Debitis nisi cum debitis soluta.,Caso en Curso
1640,2024-08-16,Quos dolores doloremque magnam magni. Non quis quam quis repellendus suscipit impedit.,Conciliación Judicial
1641,2023-02-12,"Quae perspiciatis doloremque iure cum minima quas.
Beatae minus aperiam iste. Aliquid minima necessitatibus itaque at saepe rerum.",Caso en Curso
1642,2022-04-25,Illo autem doloribus natus dolorem. Dolore veniam nulla praesentium non doloribus. Ad possimus asperiores dolorum nostrum.,Caso en Curso
1643,2024-09-28,Earum unde ipsum accusamus et iste. Inventore pariatur recusandae perspiciatis. Nihil necessitatibus cum in beatae dolorem beatae error.,Resolución Administrativa
1644,2024-06-23,Reiciendis facere ducimus delectus fugiat omnis id. Esse unde totam dicta exercitationem necessitatibus provident dolorem.,Caso en Curso
1645,2022-07-22,Nostrum nostrum quis fuga. Pariatur mollitia perferendis quis eveniet sunt.,Caso en Curso
1646,2022-09-14,Odit assumenda minus fuga provident. Voluptatibus dignissimos sit ea ipsum quidem aliquid.,Resolución Administrativa
1647,2023-07-12,Neque tempora placeat excepturi tempore maiores ex libero. Ab maxime accusantium. Perferendis deleniti eius.,Sentencia Condenatoria
1648,2021-07-20,Eos laboriosam quas optio. Voluptas repellendus facere temporibus soluta. Facilis debitis nihil culpa quam ipsam.,Caso en Curso
1649,2025-04-24,Aspernatur dolorum beatae deserunt sed minus impedit non. Dolores aperiam sapiente eligendi.,Sentencia Absolutoria
1650,2022-09-01,Ullam facere in nam impedit. Excepturi excepturi ratione voluptates suscipit culpa aperiam.,Caso en Curso
1651,2021-06-11,"Repellat quas fugiat.
Nostrum labore vero distinctio aut. Tempore at nihil.",Mediación Exitosa
1652,2023-10-25,Facere impedit atque recusandae recusandae doloremque eos. Laudantium aliquid neque sed est repudiandae. Nulla corrupti ipsum.,Caso en Curso
1653,2024-12-12,Ipsa quod quod in.,Caso en Curso
1654,2024-09-17,Nemo quibusdam consequuntur inventore. Maiores tempora similique odio commodi cumque. Adipisci in officia illo.,Caso en Curso
1655,2025-04-26,Voluptate sequi ea numquam quisquam. Sapiente sapiente accusantium excepturi.,Caso en Curso
1656,2024-06-25,Voluptatibus enim repellendus rerum consequatur. Doloremque itaque voluptatem distinctio repudiandae occaecati. Suscipit quia consequatur esse ab.,Caso en Curso
1657,2024-12-14,Dignissimos quis pariatur sunt. Odio tempora omnis sunt maiores itaque consectetur.,Caso en Curso
1658,2023-07-30,Repellat explicabo dolores. Voluptate commodi autem natus vel. Id ducimus eligendi sint optio velit omnis.,Caso en Curso
1659,2024-03-26,Similique quis laboriosam autem. Dignissimos nam optio molestiae iure. Molestiae praesentium ipsa temporibus temporibus.,Caso en Curso
1660,2023-11-18,Asperiores nisi adipisci molestias voluptatum autem.,Caso en Curso
1661,2024-10-19,Repellendus pariatur sequi animi. Cupiditate optio voluptates iure nostrum impedit libero. Repellendus reprehenderit rem necessitatibus ducimus enim.,Caso en Curso
1662,2024-03-25,Dolore laborum alias ea perspiciatis laborum. Doloremque beatae reiciendis quam architecto ipsa. Ex fugiat in nam quibusdam ratione cum.,Caso en Curso
1663,2023-06-21,Dignissimos mollitia culpa explicabo labore possimus. Accusamus eius nihil excepturi fuga. Cum hic repudiandae veniam molestias.,Mediación Exitosa
1664,2024-04-10,Possimus nam numquam laudantium ut dolorum incidunt eum. Repudiandae inventore beatae. Et mollitia repudiandae.,Caso en Curso
1665,2023-01-22,Deserunt unde voluptates sunt aliquid. Amet esse quam consequatur omnis itaque rerum. Voluptas debitis libero exercitationem rem velit.,Caso en Curso
1666,2025-01-13,Voluptatum at nobis sit. Cumque unde eum deleniti adipisci maiores. Perspiciatis dolor quo perspiciatis. Adipisci voluptatibus earum fugit.,Caso en Curso
1667,2023-02-16,Quas sequi cumque aliquam. Quos nulla harum modi voluptas nulla earum.,Caso en Curso
1668,2022-09-07,Alias numquam ratione. Labore pariatur tenetur libero quam ipsam accusantium. Iusto aut laudantium porro laboriosam autem sunt veritatis.,Caso en Curso
1669,2024-01-26,Ad accusamus commodi deleniti amet. In quas iure voluptatibus.,Caso en Curso
1670,2025-02-22,Incidunt sapiente perferendis veritatis autem aliquid doloribus. Inventore doloremque delectus ut.,Sentencia Condenatoria
1671,2023-08-29,Illo eveniet quae dignissimos ex ratione deserunt. Repellendus vitae saepe.,Acuerdo Extrajudicial
1672,2024-04-03,Nobis quam animi id libero voluptatibus. Consectetur facere modi hic. Quidem voluptatem quam sapiente. Modi atque reiciendis veniam maiores quos.,Caso en Curso
1673,2023-02-21,Quisquam voluptatum illo tempore at impedit quo. Ex ex modi perspiciatis saepe. Possimus tenetur voluptate saepe itaque unde maxime.,Caso en Curso
1674,2024-12-14,Labore dolor praesentium consequatur soluta aspernatur ea temporibus.,Caso en Curso
1675,2023-10-19,Provident at provident illo commodi fugit. Nihil accusantium harum sapiente sed. Tempora expedita nam alias nostrum. Beatae ratione quisquam magni.,Caso en Curso
1676,2023-08-18,Aut voluptatibus voluptatum et fugit molestiae. Enim cumque natus similique quibusdam consequuntur laboriosam error.,Sentencia Condenatoria
1677,2024-10-17,Consectetur expedita perferendis quod. Earum ut numquam iure dicta.,Acuerdo Extrajudicial
1678,2023-05-22,"Aliquam rem eum est optio nemo. Ex iste provident dignissimos occaecati.
Numquam iste veniam.",Caso en Curso
1679,2022-11-15,"Minima esse natus quod. Veritatis consequuntur aliquam nesciunt.
Voluptatibus nobis vero ut eos.",Caso en Curso
1680,2024-12-18,Veniam tempore est ducimus necessitatibus. Ad est ducimus similique nam. Cum illum fugit quod exercitationem. Quia aperiam ex voluptas qui.,Caso en Curso
1681,2024-11-01,Sequi magni a. Laudantium numquam quod fuga doloremque placeat possimus. Aliquam aut dicta praesentium dicta ipsam blanditiis illum.,Acuerdo Extrajudicial
1682,2023-02-23,Natus praesentium ratione veritatis id facilis ipsam. Corrupti similique ad fugiat mollitia laboriosam. Porro hic quae aut exercitationem.,Caso en Curso
1683,2025-02-26,Repellat sunt temporibus rerum. Est aut consectetur rerum culpa.,Recurso Concedido
1684,2022-11-07,Quam expedita totam recusandae perferendis quae cum. Tempora enim illo accusamus rerum repellendus.,Archivo por Falta de Pruebas
1685,2024-05-22,"Mollitia veritatis delectus mollitia consequatur voluptas nesciunt. Repellat cumque assumenda.
Reiciendis nobis doloremque sed.",Caso en Curso
1686,2024-12-15,Dicta sequi natus error ad fugit soluta. Nisi doloribus similique eaque.,Resolución Administrativa
1687,2023-05-27,Quidem quasi incidunt similique. Reprehenderit amet libero voluptas officia. Ea blanditiis accusantium soluta.,Caso en Curso
1688,2023-10-17,Optio voluptatum atque in dolor. Sequi nam placeat necessitatibus.,Caso en Curso
1689,2025-03-06,Perferendis nihil soluta repudiandae. Quibusdam sint cumque consectetur quisquam. Quisquam aut ipsam quia eum.,Recurso Concedido
1690,2022-10-29,Eaque illo assumenda nulla expedita aliquam dolorum. Perspiciatis beatae explicabo unde atque ipsum.,Caso en Curso
1691,2022-10-21,Excepturi rerum autem recusandae ullam. Aliquam nostrum magni voluptates laudantium consectetur vel. Nemo culpa asperiores accusantium.,Mediación Exitosa
1692,2023-04-15,Delectus ad cum omnis tempora. Praesentium autem repudiandae reprehenderit. Omnis repudiandae numquam ut tempora.,Caso en Curso
1693,2025-04-06,A vero cumque veritatis dolorem at magni. Veritatis eum ex molestias itaque neque. Modi hic iure ducimus a voluptate magni aperiam.,Caso en Curso
1694,2023-02-07,Esse nihil eveniet voluptatibus provident veritatis. Nemo beatae eum sequi incidunt quo inventore.,Caso en Curso
1695,2021-01-04,"Quae ex ad molestiae recusandae dolores quasi. Consequuntur hic impedit pariatur.
Laboriosam unde dolorum maiores. Sit ipsam architecto ipsum.",Caso en Curso
1696,2021-04-28,Ipsum consectetur necessitatibus illo commodi aperiam minima velit. Sapiente natus nobis explicabo ipsam dolorem. Eius libero perspiciatis.,Caso en Curso
1697,2024-07-09,Incidunt ad facere fugiat perspiciatis eveniet. Accusantium numquam quam.,Mediación Exitosa
1698,2024-03-12,"Excepturi aut repellendus.
Ea quidem delectus illo doloribus soluta animi ratione. Fugit officia ex corrupti doloremque placeat.",Caso en Curso
1699,2024-05-07,Ex dolor optio exercitationem mollitia recusandae. Placeat beatae eius libero fugiat incidunt. Soluta vitae quae dolore.,Caso en Curso
1700,2024-07-17,Non aut eos natus. Molestiae repellat sunt itaque aliquid officiis fuga. A dolores incidunt officia rem sequi.,Caso en Curso
1701,2023-07-05,Adipisci qui numquam. Quos harum sequi incidunt enim.,Caso en Curso
1702,2025-02-01,Tempore provident repudiandae corporis libero. Assumenda doloremque quasi dolore sapiente. Porro cum recusandae delectus quasi modi tenetur.,Caso en Curso
1703,2025-04-16,Voluptate veniam porro voluptates atque. Nisi ipsam quae nemo excepturi saepe modi maiores.,Sentencia Absolutoria
1704,2024-04-12,Mollitia ab dolor. Doloribus aspernatur voluptatum inventore provident beatae. Quos odit rerum totam ut atque maiores.,Sentencia Absolutoria
1705,2023-08-20,Sunt quo mollitia veniam dignissimos officiis odit. Modi sint non maxime. Amet neque ipsa tempora.,Caso en Curso
1706,2020-12-02,Impedit fugiat minus rem hic excepturi. Excepturi voluptatibus quisquam illo quas voluptates.,Caso en Curso
1707,2021-03-20,Pariatur debitis ipsam autem. Hic voluptas natus aliquid possimus veniam.,Caso en Curso
1708,2025-01-18,Sunt ea necessitatibus cumque repudiandae deserunt eos.,Caso en Curso
1709,2024-10-13,Debitis sapiente laudantium sed eaque recusandae. Unde sit corporis repellat nulla quidem. Tempora quam qui nemo aliquam unde.,Caso en Curso
1710,2024-11-23,Quisquam dolore voluptates non laudantium fugiat. Sunt sint quidem reprehenderit.,Caso en Curso
1711,2021-10-28,Atque maiores consectetur possimus. Enim est ducimus impedit unde optio repellat.,Caso en Curso
1712,2024-05-02,Quas maiores consequatur est. Eum illum recusandae hic.,Caso en Curso
1713,2022-08-13,Possimus laboriosam veniam asperiores eligendi quam. Sit veniam aspernatur recusandae ad.,Caso en Curso
1714,2025-03-23,Non id in doloremque repudiandae. Perferendis doloribus totam mollitia maxime voluptatibus. Excepturi eveniet delectus possimus ullam dolor.,Caso en Curso
1715,2025-04-06,Possimus nostrum quo aliquid ipsum quod tenetur. Quibusdam totam autem quas et totam eligendi.,Acuerdo Extrajudicial
1716,2025-03-30,"Fuga non sapiente cumque autem fugit.
Repellat officiis id praesentium doloribus. Dolorem possimus veritatis assumenda autem nisi quia.",Acuerdo Extrajudicial
1717,2023-10-16,"Pariatur distinctio quod. Ipsa modi neque.
Qui non nemo atque. Sapiente provident dicta numquam placeat.",Caso en Curso
1718,2025-02-21,Culpa vitae illum similique. Et consectetur ducimus eius repudiandae molestiae eius.,Caso en Curso
1719,2022-04-13,Libero minus dolore. Facilis tenetur quod et commodi. Blanditiis consequatur amet iure rem assumenda.,Caso en Curso
1720,2025-05-25,Consequuntur molestias nam ex. Saepe mollitia natus cupiditate repudiandae.,Caso en Curso
1721,2024-12-25,Placeat architecto nostrum asperiores nemo. Sequi nesciunt voluptates ut ad commodi quia.,Caso en Curso
1722,2025-02-05,Blanditiis perferendis facere dignissimos. Tempore numquam quo explicabo in dolorem eligendi.,Caso en Curso
1723,2025-02-17,"Veniam nobis aspernatur quaerat quos. Occaecati ipsam aliquid consectetur.
Quaerat facere tempore. Veritatis nobis accusantium earum.",Caso en Curso
1724,2023-04-11,Fugiat tempore minus eius veniam sit. Accusamus minima qui repudiandae hic sequi odio. Cum facere inventore iste blanditiis.,Resolución Administrativa
1725,2024-01-20,Itaque doloremque fugiat non incidunt ducimus quidem. Odio similique perspiciatis possimus.,Caso en Curso
1726,2024-04-09,Cupiditate cumque reiciendis similique adipisci a dolorem facilis. Magni dignissimos repellat voluptatum. Recusandae eos numquam labore quia.,Caso en Curso
1727,2023-06-06,Perferendis quam ipsa odit. Incidunt a accusantium.,Multa o Sanción
1728,2025-02-22,Quaerat id ducimus nisi. Exercitationem soluta est fuga. Incidunt assumenda ea voluptatibus.,Caso en Curso
1729,2022-04-09,Ut doloremque quis aliquid sint quas. Placeat deleniti cupiditate atque commodi.,Caso en Curso
1730,2022-12-01,Eaque beatae quibusdam numquam repellendus. Illum voluptate iure ratione.,Archivo por Falta de Pruebas
1731,2023-04-24,Dicta repellendus vel. Eaque omnis sint ratione optio odit vero molestias.,Recurso Concedido
1732,2021-03-24,Assumenda eos modi necessitatibus ut. A cupiditate sequi impedit odit.,Caso en Curso
1733,2024-02-23,"Voluptates libero vel impedit voluptas. Itaque maiores alias.
Quasi similique possimus earum.",Resolución Administrativa
1734,2022-03-20,Praesentium assumenda mollitia. Voluptatem tempore quod laudantium sunt. Quis repellat consequatur dolorum. Placeat perferendis est.,Caso en Curso
1735,2023-04-11,Minus beatae inventore. Saepe ipsum accusantium id delectus error excepturi. Cupiditate doloribus perspiciatis est.,Sentencia Absolutoria
1736,2020-08-18,Itaque perferendis consequatur. Eos voluptas porro impedit quod quo repellat. Nulla voluptates et numquam praesentium consequatur modi.,Caso en Curso
1737,2025-01-06,Itaque aperiam assumenda nisi. Suscipit veritatis facere cumque minima. Repudiandae autem consequatur libero libero.,Caso en Curso
1738,2024-12-31,In recusandae vel omnis. Ea magnam suscipit aut repellendus deserunt. Reprehenderit autem corrupti autem veniam recusandae eos.,Caso en Curso
1739,2022-03-21,"Quam qui dolorem. Odio suscipit earum error. Aut officia ex eaque dolor.
Tenetur recusandae fugit aperiam dolor eligendi qui.",Caso en Curso
1740,2024-05-13,Deleniti dolores soluta sit impedit. Ipsam ullam harum adipisci voluptatum.,Caso en Curso
1741,2024-10-16,Hic sequi vel fugit id est. Praesentium tenetur voluptatem ut odio pariatur explicabo provident. Ab velit amet et minima dignissimos.,Sentencia Absolutoria
1742,2023-05-02,Itaque quod ex mollitia. Praesentium corrupti unde nulla exercitationem.,Sentencia Absolutoria
1743,2024-05-12,Ratione corporis nulla dicta reprehenderit doloremque. Fuga commodi quae distinctio pariatur. Cum ipsum labore temporibus.,Caso en Curso
1744,2024-09-08,Ratione laudantium dignissimos nulla. Dignissimos earum nisi accusantium aliquam ea quisquam. Totam iure placeat quia veritatis adipisci.,Conciliación Judicial
1745,2021-03-10,Aliquid sequi ratione deleniti pariatur ducimus amet. Fugiat eligendi unde eius dignissimos. Accusantium excepturi in nisi laboriosam.,Caso en Curso
1746,2024-02-19,"Nemo fuga corporis facere. Odio sed amet eos.
Sed qui alias deleniti repudiandae. Ex consequatur alias labore.",Caso en Curso
1747,2024-03-30,Dicta dolores consequuntur in enim. Similique commodi incidunt occaecati nisi maxime nulla. Voluptatem optio explicabo fugit animi aliquid.,Caso en Curso
1748,2023-10-12,Delectus unde eum ipsa eveniet. Molestias at numquam quae. Excepturi occaecati commodi suscipit similique. Consequuntur itaque natus dicta.,Sentencia Absolutoria
1749,2022-06-12,Quis occaecati quisquam eius. Iste minus dolor quibusdam. Rem ab dignissimos tenetur beatae.,Caso en Curso
1750,2025-01-04,Vero cum eaque magnam dolor. Minima adipisci voluptatum ratione officiis. Exercitationem dolores dolore libero nisi.,Multa o Sanción
1751,2020-08-26,Odio distinctio tempora atque temporibus magnam. Exercitationem fugit sint molestiae. Sint voluptas tempora voluptatum.,Desistimiento del Demandante
1752,2024-05-23,Mollitia temporibus fuga officia suscipit tenetur. Doloremque deserunt perferendis beatae est.,Caso en Curso
1753,2024-07-14,Accusamus dolorum doloribus doloribus perspiciatis corrupti. Nemo blanditiis quo quidem placeat quae quibusdam.,Caso en Curso
1754,2024-08-28,Architecto repellendus qui unde nostrum saepe tenetur. Mollitia laudantium labore assumenda eaque in.,Caso en Curso
1755,2023-03-26,Consequatur corrupti iure minus deserunt nostrum. Omnis dolore dignissimos ipsa.,Caso en Curso
1756,2022-09-09,Eaque architecto doloribus architecto. Odio minus dolorem expedita.,Mediación Exitosa
1757,2024-06-24,In aspernatur et porro ratione mollitia. Distinctio reprehenderit sequi accusantium. Cum eligendi deserunt quos sit aspernatur.,Caso en Curso
1758,2023-11-18,Quia facere blanditiis tempore fuga provident. Facere quos officia hic. Est labore ea nostrum.,Acuerdo Extrajudicial
1759,2025-05-19,Dolore in accusantium sapiente non ducimus. Eveniet vitae porro aliquid fugit fugit exercitationem nisi.,Caso en Curso
1760,2024-01-10,Harum culpa nostrum autem in odit. Exercitationem eos veritatis et similique. Cum possimus exercitationem odit voluptates.,Caso en Curso
1761,2024-11-08,Magni nulla suscipit omnis. Error saepe recusandae optio. Dolorum explicabo accusamus veritatis.,Caso en Curso
1762,2024-03-05,Corrupti repellat quis expedita repellendus mollitia. Dicta vero corrupti consequatur nihil repellat ut. Ea beatae dicta numquam maxime.,Caso en Curso
1763,2024-07-25,Odio reiciendis possimus repellat corrupti illo.,Caso en Curso
1764,2022-08-14,Veritatis debitis natus provident tenetur. Ipsam ad quam quam. Est ab dolorem amet quod ad.,Caso en Curso
1765,2023-10-15,Placeat recusandae quaerat enim libero enim labore. Deleniti quis odit voluptate deleniti. Doloribus cum quis aliquid voluptatem.,Recurso Concedido
1766,2024-02-19,Alias nostrum inventore sunt quis atque quo.,Acuerdo Extrajudicial
1767,2024-02-09,Dolorum in consectetur ipsa repellat at inventore temporibus. Debitis repellat magni mollitia molestiae. Corrupti inventore praesentium iste earum.,Multa o Sanción
1768,2022-10-20,Vel magni aperiam dignissimos. Nihil ipsum delectus quibusdam. Atque tenetur deleniti facere non.,Caso en Curso
1769,2023-05-11,Possimus vel quasi. At quae enim ipsa. Hic placeat ab cum consectetur nulla tenetur.,Caso en Curso
1770,2024-09-04,Occaecati in nostrum. Laborum laudantium saepe tenetur. Praesentium eum voluptate ipsam aliquam voluptatum illo.,Caso en Curso
1771,2023-10-31,"Modi temporibus cupiditate alias voluptates amet illo. Reiciendis quae minima soluta distinctio.
Tempore sequi illum nulla odit ad ut laudantium.",Caso en Curso
1772,2024-06-17,Reiciendis vel laboriosam illum incidunt quibusdam. Occaecati quas magni.,Caso en Curso
1773,2025-01-17,Velit amet temporibus aperiam tempore. Dicta cum culpa tempore. Necessitatibus aperiam amet nam fugit delectus porro autem.,Sobreseimiento
1774,2024-07-31,Hic doloremque iusto nemo. Atque ipsa id voluptatum consequuntur vitae dolorem.,Desistimiento del Demandante
1775,2023-07-21,Repellendus tenetur laborum. Natus perferendis vero minima. Earum exercitationem corrupti non vel ipsam dolorum eaque.,Recurso Denegado
1776,2024-06-01,Nemo dignissimos possimus natus dicta. Ratione voluptate repellendus facilis a similique.,Mediación Exitosa
1777,2024-04-30,At atque pariatur vel.,Caso en Curso
1778,2022-07-29,Doloribus facilis cumque expedita provident dolorem quasi. Nam nobis nihil earum repudiandae inventore commodi.,Acuerdo Extrajudicial
1779,2024-10-01,Reprehenderit doloribus molestias animi nisi. Inventore iure consectetur vel itaque.,Caso en Curso
1780,2023-08-07,Totam consequatur a ducimus necessitatibus. Fuga accusamus sequi fuga molestias fuga commodi. Tempore deleniti eligendi necessitatibus.,Caso en Curso
1781,2023-02-11,Magni quasi molestiae culpa. Nihil occaecati distinctio iste enim voluptatum reiciendis.,Sentencia Condenatoria
1782,2022-10-14,"Possimus quos temporibus fuga. Nostrum dignissimos ducimus.
Sed soluta pariatur dolorem temporibus. Nostrum libero quae sit expedita.",Caso en Curso
1783,2023-01-27,Dolor voluptate enim commodi eaque. Modi sunt nulla aut quaerat inventore sequi. Doloremque voluptatibus sint vero.,Caso en Curso
1784,2023-09-28,Quam laborum neque reiciendis doloribus quod laborum. Aliquam reiciendis vitae cumque animi voluptatem unde. Aut autem quae sint velit rem minima.,Mediación Exitosa
1785,2023-10-28,"Ad occaecati iure soluta fugiat. Quos ab assumenda aspernatur doloribus quae animi velit.
Enim sequi ex architecto accusamus nam nisi.",Caso en Curso
1786,2024-06-18,Nostrum occaecati iure facilis vero consectetur. A recusandae placeat tempore animi illo placeat.,Caso en Curso
1787,2024-12-09,Quis nisi alias minus. Iusto culpa dolores. Omnis reiciendis officia consequuntur excepturi aperiam velit.,Caso en Curso
1788,2024-09-04,Perspiciatis sed magnam libero voluptatum facilis. Id ab necessitatibus voluptatem officiis.,Caso en Curso
1789,2022-12-26,Reiciendis tenetur odio recusandae ex magnam omnis. Quos autem quidem minima.,Caso en Curso
1790,2024-03-05,Atque tempora ex dolorum quae in eligendi.,Recurso Denegado
1791,2025-03-11,Dicta dicta rem perferendis. Explicabo beatae est suscipit magni. Asperiores amet rerum maxime aliquid exercitationem.,Caso en Curso
1792,2025-03-17,Eaque id dignissimos ab magnam enim. Ea reiciendis cupiditate. Alias ab iusto pariatur.,Caso en Curso
1793,2023-11-20,Eius eveniet enim optio doloribus. Illo quibusdam repellat in voluptatibus.,Multa o Sanción
1794,2024-05-01,Dicta magnam corporis quas delectus magnam. Est illum autem aliquam fugit neque. Quaerat quasi quam corporis repellat recusandae omnis.,Recurso Concedido
1795,2025-03-10,Quia amet ea beatae. Ut aut magni aliquam sequi alias unde.,Caso en Curso
1796,2022-12-18,"Dicta at sapiente blanditiis eum laborum minima.
Maiores aliquam tenetur fuga adipisci. At ducimus vel consequatur vitae quasi doloribus.",Caso en Curso
1797,2024-11-13,Soluta deleniti adipisci pariatur deserunt voluptate. Illo dolorem facilis molestias rem dolor corrupti.,Caso en Curso
1798,2023-08-22,Adipisci autem consequuntur optio quidem consequuntur. Ad blanditiis sed optio error. Alias autem quod quaerat ipsam cum.,Caso en Curso
1799,2022-12-01,Ipsa perferendis culpa quos unde. Ratione nam vel. Corrupti pariatur sapiente cupiditate.,Caso en Curso
1800,2023-09-26,Voluptatem commodi autem explicabo fugit nesciunt. Vitae sequi harum. Omnis molestias veniam quod eaque expedita voluptatibus.,Caso en Curso
1801,2024-11-12,Illum incidunt veniam. Quaerat voluptas nostrum culpa alias quae veritatis. Illo maiores nesciunt excepturi quia debitis incidunt reiciendis.,Archivo por Falta de Pruebas
1802,2023-12-09,Minus quia totam cupiditate. Alias dolorem natus laborum facilis vero.,Desistimiento del Demandante
1803,2022-03-18,Repellendus minima aut ex tenetur ex. Repellat dolor provident esse laboriosam.,Caso en Curso
1804,2023-10-11,"Corrupti adipisci nulla ea voluptatum unde. Distinctio commodi sed expedita.
Accusantium enim molestias tenetur. Molestiae voluptatem nulla minima.",Mediación Exitosa
1805,2022-05-24,Corrupti iusto nemo magnam fuga voluptatem praesentium. Vel laudantium ex provident impedit.,Archivo por Falta de Pruebas
1806,2023-03-31,Nulla sit eaque voluptatibus. Ipsa modi ipsa.,Caso en Curso
1807,2022-03-19,Nisi ullam dolor accusantium alias harum corrupti. Quia vel doloribus distinctio rem. Aliquam deserunt excepturi exercitationem nam odio alias.,Caso en Curso
1808,2025-01-02,"Aliquam ipsum iure voluptatibus.
Dolore quo est id animi dolorem sit. Omnis quidem vel repellat inventore mollitia unde. Natus praesentium ipsam.",Sobreseimiento
1809,2024-09-11,Exercitationem quas possimus alias doloremque alias fugiat. Ut suscipit consectetur facilis mollitia. Nulla nisi et corrupti iure laborum.,Caso en Curso
1810,2025-02-09,Saepe ratione quasi sed adipisci exercitationem. Praesentium quibusdam molestias.,Recurso Denegado
1811,2023-01-17,"Mollitia dignissimos at non.
Occaecati quisquam id. Aut voluptas eveniet nihil possimus nam consectetur.",Caso en Curso
1812,2025-03-10,Rerum magnam tenetur doloribus cum commodi. Ut quae temporibus veniam odio laboriosam. Quas ratione suscipit possimus quasi odit illo eum.,Mediación Exitosa
1813,2023-08-23,"Qui consequuntur quia quos expedita numquam. Nostrum recusandae suscipit facilis.
Quis corrupti officia. Non non officiis cumque ut facere qui.",Desistimiento del Demandante
1814,2023-11-10,Vero natus libero illo. Optio nam animi ipsa facilis placeat reprehenderit. Porro culpa hic dolorum repudiandae temporibus.,Caso en Curso
1815,2024-03-22,A voluptatum incidunt atque saepe. Sapiente similique est iusto corporis culpa necessitatibus officiis.,Sobreseimiento
1816,2024-02-06,Dolor atque consectetur reprehenderit quisquam reiciendis quos. Minima eos in dignissimos animi consequuntur fugit eius.,Caso en Curso
1817,2024-04-04,"Ullam amet voluptas minima ex. Voluptatem sequi impedit rem minus.
Atque ipsam magnam quibusdam in qui est.",Caso en Curso
1818,2025-05-09,Iste facere fuga porro. Asperiores dicta ab odit cumque fugit porro perferendis. Nostrum ut dolore illum vero.,Caso en Curso
1819,2024-09-28,"Possimus inventore perferendis inventore illum rerum.
At tenetur unde accusamus. Accusamus fugit saepe. Deleniti atque harum explicabo consequatur.",Caso en Curso
1820,2025-05-14,Delectus sit explicabo temporibus ducimus nam aspernatur. Reiciendis aperiam molestiae dolor non debitis.,Sobreseimiento
1821,2023-08-25,Quam iusto provident aliquid. Consequatur enim facilis officiis beatae magnam porro. Itaque sapiente molestiae laborum recusandae.,Caso en Curso
1822,2024-06-06,Laborum at ipsum blanditiis laboriosam sint. Odio veniam esse quasi.,Caso en Curso
1823,2025-04-07,Quasi a adipisci voluptas neque vero. Laboriosam veritatis minima saepe impedit quas adipisci. Incidunt necessitatibus praesentium.,Caso en Curso
1824,2024-04-28,"Exercitationem dolore totam. Repellendus deserunt recusandae tenetur.
Quibusdam illum deleniti accusamus ut quos.",Sentencia Absolutoria
1825,2023-12-01,Animi harum aliquid voluptatibus. Mollitia nostrum quia temporibus nihil fugiat. Quam fugit non eum harum corrupti.,Conciliación Judicial
1826,2024-12-25,Dicta enim mollitia inventore corrupti eaque. Saepe recusandae in in optio. Doloremque ipsam sit neque voluptate quidem.,Caso en Curso
1827,2024-07-13,"Quasi at provident molestias hic amet culpa.
Assumenda dolorem quo suscipit dicta. Fugiat voluptatem id impedit. Temporibus ut aut dolorum sequi.",Conciliación Judicial
1828,2023-03-07,Minima cum consequatur deserunt quisquam dicta. Deleniti vero suscipit sed. Iure fuga deleniti beatae corporis iste.,Caso en Curso
1829,2022-12-12,Maiores magni totam magni rerum ullam. Excepturi fugiat ratione voluptatum. Facilis quas quod itaque exercitationem ut. Totam quibusdam iure.,Multa o Sanción
1830,2020-12-19,Ipsum expedita voluptate qui est.,Caso en Curso
1831,2021-04-13,Minus illo ratione maxime accusantium. Mollitia labore itaque enim.,Caso en Curso
1832,2025-04-13,Fugiat aut architecto odit. Deserunt cupiditate saepe debitis accusamus. Veritatis delectus aut quo.,Caso en Curso
1833,2025-04-11,Quam quidem quisquam mollitia explicabo. Ad officiis voluptates a corporis. Aspernatur sit corrupti odio.,Sentencia Absolutoria
1834,2024-06-11,Deserunt molestias architecto ea. Debitis fugit deserunt cum sint amet. Provident et cumque aliquid a.,Sentencia Absolutoria
1835,2025-04-30,Illum aliquam aut inventore. Magnam recusandae blanditiis eos perferendis quia. Id sequi quis perspiciatis unde expedita suscipit iste.,Caso en Curso
1836,2025-01-30,Sapiente facilis reiciendis recusandae. Rem adipisci temporibus sequi minus quam. Totam dolore nesciunt.,Caso en Curso
1837,2024-01-29,Molestias incidunt eum explicabo. Distinctio itaque esse ratione. Vitae voluptatem libero quae.,Sentencia Condenatoria
1838,2023-11-19,Labore distinctio suscipit minima odit expedita ab. Sunt reiciendis enim sapiente cupiditate.,Caso en Curso
